### all pods
NAMESPACE                               NAME                                                              READY   STATUS                   RESTARTS        AGE    IP              NODE                                    NOMINATED NODE   READINESS GATES
cert-manager                            cert-manager-7b9b5745db-d8zbt                                     1/1     Running                  0               146m   192.168.0.223   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
cert-manager                            cert-manager-cainjector-6c7c77f954-zncrg                          1/1     Running                  2 (150m ago)    12h    192.168.0.221   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
cert-manager                            cert-manager-webhook-9f4fbcd64-grbln                              1/1     Running                  0               146m   192.168.0.142   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
cluster-6a4c318600e881551a495995        cluster-management-agent-lite-7c78dd4f7f-dd9cw                    1/1     Running                  1 (150m ago)    11h    192.168.0.173   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
cluster-6a4c318600e881551a495995        metrics-server-847bb75495-vbv2g                                   1/1     Running                  2 (150m ago)    12h    192.168.0.7     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
cluster-6a4c318600e881551a495995        palette-lite-controller-manager-56fb65d48f-dxxvw                  2/2     Running                  0               146m   192.168.0.151   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
gpu-operator                            gpu-feature-discovery-p2thq                                       1/1     Running                  0               145m   192.168.0.101   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
gpu-operator                            gpu-operator-648f788768-cjjf5                                     1/1     Running                  2 (150m ago)    11h    192.168.0.122   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
gpu-operator                            nvidia-container-toolkit-daemonset-v2zlb                          0/1     CrashLoopBackOff         36 (107s ago)   145m   192.168.0.94    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
gpu-operator                            nvidia-cuda-validator-xs5gq                                       0/1     Completed                0               143m   <none>          edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
gpu-operator                            nvidia-dcgm-exporter-jkxcj                                        1/1     Running                  0               145m   192.168.0.236   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
gpu-operator                            nvidia-device-plugin-daemonset-fnfhh                              1/1     Running                  0               145m   192.168.0.110   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
gpu-operator                            nvidia-driver-daemonset-nv5b6                                     1/1     Running                  2 (150m ago)    11h    192.168.0.44    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
gpu-operator                            nvidia-operator-validator-2lntm                                   1/1     Running                  0               145m   192.168.0.43    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
kgateway-system                         kgateway-57df8df976-dnsml                                         1/1     Running                  2 (150m ago)    11h    192.168.0.138   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
knative-operator                        knative-operator-64457f9bc6-m5wp9                                 1/1     Running                  1 (150m ago)    179m   192.168.0.67    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
knative-operator                        operator-webhook-c4789f4dd-b9jm4                                  1/1     Running                  1 (150m ago)    179m   192.168.0.128   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
knative-serving                         3scale-kourier-gateway-54fb555bd7-ls6kj                           1/1     Running                  0               178m   192.168.0.109   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
knative-serving                         activator-597c5bdcd5-68wx7                                        1/1     Running                  1 (150m ago)    178m   192.168.0.84    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
knative-serving                         autoscaler-59d9646d78-2q45l                                       1/1     Running                  0               146m   192.168.0.8     edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
